id	level	category	word	old_example	new_example	new_ko	new_en
v2790	B1-B2	La société	l'industrialisation (f.)	On parle souvent de l'industrialisation dans les médias.	L'industrialisation rapide a profondément transformé la région.	빠른 산업화가 그 지역을 크게 변화시켰다.	Rapid industrialization profoundly transformed the region.
v2799	B1-B2	La société	la charité	On parle souvent de la charité dans les médias.	L'association fait appel à la charité du public pour financer ses actions.	그 단체는 활동 자금을 마련하기 위해 대중의 기부와 자선에 호소한다.	The organization appeals to public charity to fund its work.
v2802	B1-B2	La société	la discrimination	On parle souvent de la discrimination dans les médias.	La loi interdit toute discrimination fondée sur l'âge ou le sexe.	법은 나이나 성별을 이유로 한 모든 차별을 금지한다.	The law prohibits any discrimination based on age or sex.
v2803	B1-B2	La société	la discrimination raciale	On parle souvent de la discrimination raciale dans les médias.	La discrimination raciale reste un problème grave dans de nombreuses sociétés.	인종 차별은 많은 사회에서 여전히 심각한 문제다.	Racial discrimination remains a serious problem in many societies.
v2807	B1-B2	La société	la publicité	On parle souvent de la publicité dans les médias.	Cette publicité vise à attirer de nouveaux clients.	이 광고는 신규 고객을 끌어들이는 것을 목표로 한다.	This advertisement aims to attract new customers.
v2808	B1-B2	La société	la paix	On parle souvent de la paix dans les médias.	Les deux pays ont signé un accord de paix après plusieurs mois de négociations.	두 나라는 수개월간의 협상 끝에 평화 협정을 체결했다.	The two countries signed a peace agreement after several months of negotiations.
v2812	B1-B2	La société	l'autorité (f.)	On parle souvent de l'autorité dans les médias.	Le directeur a l'autorité nécessaire pour prendre cette décision.	이사는 이 결정을 내릴 권한이 있다.	The director has the authority needed to make this decision.
v2813	B1-B2	La société	la situation	On parle souvent de la situation dans les médias.	La situation s'est nettement améliorée depuis la semaine dernière.	상황은 지난주 이후 눈에 띄게 좋아졌다.	The situation has improved significantly since last week.
v2814	B1-B2	La société	l'incident (m.)	On parle souvent de l'incident dans les médias.	L'incident a été signalé à la sécurité dès qu'il s'est produit.	사건이 발생하자마자 보안팀에 보고되었다.	The incident was reported to security as soon as it happened.
v2817	B1-B2	La société	l'instruction (f.)	On parle souvent de l'instruction dans les médias.	Lisez attentivement les instructions avant d'utiliser l'appareil.	기기를 사용하기 전에 설명서를 주의 깊게 읽으세요.	Read the instructions carefully before using the device.
v2818	B1-B2	La société	la compréhension	On parle souvent de la compréhension dans les médias.	Une bonne compréhension du problème est nécessaire avant de proposer une solution.	해결책을 제시하기 전에 문제를 제대로 이해하는 것이 필요하다.	A good understanding of the problem is necessary before proposing a solution.
v2819	B1-B2	La société	la phrase	On parle souvent de la phrase dans les médias.	Peux-tu reformuler cette phrase pour qu'elle soit plus claire ?	이 문장을 더 명확하게 다시 표현해 줄 수 있어?	Can you rephrase this sentence so that it is clearer?
v2820	B1-B2	La société	la production	On parle souvent de la production dans les médias.	La production a augmenté de dix pour cent cette année.	올해 생산량이 10퍼센트 증가했다.	Production increased by ten percent this year.
v2823	B1-B2	La société	la rédaction	On parle souvent de la rédaction dans les médias.	La rédaction d'un CV clair demande du temps et de la précision.	명확한 이력서를 작성하려면 시간과 정확성이 필요하다.	Writing a clear résumé takes time and precision.
v2824	B1-B2	La société	l'épreuve (f.)	On parle souvent de l'épreuve dans les médias.	L'épreuve écrite dure deux heures et comprend trois parties.	필기시험은 두 시간 동안 진행되며 세 부분으로 구성된다.	The written test lasts two hours and has three sections.
v2825	B1-B2	La société	la note	On parle souvent de la note dans les médias.	J'ai obtenu une bonne note à l'examen final.	나는 기말시험에서 좋은 점수를 받았다.	I got a good grade on the final exam.
v2827	B1-B2	La société	l'avis (m.)	On parle souvent de l'avis dans les médias.	À mon avis, cette solution est la plus réaliste.	내 생각에는 이 해결책이 가장 현실적이다.	In my opinion, this solution is the most realistic.
v2835	B1-B2	La société	la relation	On parle souvent de la relation dans les médias.	Il entretient de bonnes relations avec ses collègues.	그는 동료들과 좋은 관계를 유지한다.	He maintains good relationships with his coworkers.
v2836	B1-B2	La société	l'événement (m.)	On parle souvent de l'événement dans les médias.	L'événement aura lieu samedi prochain au centre-ville.	행사는 다음 주 토요일 도심에서 열린다.	The event will take place downtown next Saturday.
v2841	B1-B2	La société	l'interaction (f.)	On parle souvent de l'interaction dans les médias.	Les interactions avec les clients font partie de son travail quotidien.	고객과의 상호작용은 그의 일상 업무의 일부다.	Interactions with customers are part of his daily work.
v2846	B1-B2	La société	la fonction	On parle souvent de la fonction dans les médias.	Cette fonction permet de sauvegarder automatiquement les documents.	이 기능을 사용하면 문서를 자동으로 저장할 수 있다.	This function allows documents to be saved automatically.
v2851	B1-B2	La société	la description	On parle souvent de la description dans les médias.	La description du poste précise les principales responsabilités.	직무 설명에는 주요 책임이 명시되어 있다.	The job description specifies the main responsibilities.
v2855	B1-B2	La société	la motivation	On parle souvent de la motivation dans les médias.	La motivation joue un rôle important dans l'apprentissage d'une langue.	동기는 언어 학습에서 중요한 역할을 한다.	Motivation plays an important role in language learning.
v2860	B1-B2	La société	la mode	On parle souvent de la mode dans les médias.	Cette couleur revient à la mode cette année.	이 색상은 올해 다시 유행하고 있다.	This color is coming back into fashion this year.
v2861	B1-B2	La société	l'élément (m.)	On parle souvent de l'élément dans les médias.	Il manque un élément important dans le dossier.	서류에 중요한 요소 하나가 빠져 있다.	An important element is missing from the file.
v2862	B1-B2	La société	la rubrique	On parle souvent de la rubrique dans les médias.	Consultez la rubrique « Emploi » pour voir les nouvelles offres.	새 채용 공고를 보려면 ‘취업’ 항목을 확인하세요.	Check the 'Jobs' section to see the new postings.
v2863	B1-B2	La société	la partie	On parle souvent de la partie dans les médias.	La première partie du rapport présente les résultats de l'étude.	보고서의 첫 부분은 연구 결과를 제시한다.	The first part of the report presents the study results.
