id	level	category	word	old_example	new_example	new_ko	new_en
v1070	A1-A2	LES GENS ET FAMILLE	la fille	Je parle souvent avec la fille.	Ma fille apprend à nager cette année.	내 딸은 올해 수영을 배우고 있다.	My daughter is learning to swim this year.
v1071	A1-A2	LES GENS ET FAMILLE	le garçon	Je parle souvent avec le garçon.	Le garçon attend son bus devant l'école.	그 남자아이는 학교 앞에서 버스를 기다린다.	The boy is waiting for his bus in front of the school.
v1072	A1-A2	LES GENS ET FAMILLE	le gamin	Je parle souvent avec le gamin.	Le gamin court partout dans le parc.	그 꼬마는 공원 여기저기를 뛰어다닌다.	The kid is running all over the park.
v1073	A1-A2	LES GENS ET FAMILLE	la gamine	Je parle souvent avec la gamine.	La gamine tient la main de sa mère.	그 여자아이는 엄마의 손을 잡고 있다.	The little girl is holding her mother's hand.
v1084	A1-A2	LES GENS ET FAMILLE	les grands-parents	Je parle souvent avec les grands-parents.	Mes grands-parents viennent nous voir ce week-end.	우리 조부모님이 이번 주말에 우리를 보러 오신다.	My grandparents are coming to see us this weekend.
v1089	A1-A2	LES GENS ET FAMILLE	l'oncle	Je parle souvent avec l'oncle.	Mon oncle habite près de la mer.	우리 삼촌은 바다 근처에 산다.	My uncle lives near the sea.
v1090	A1-A2	LES GENS ET FAMILLE	la tante	Je parle souvent avec la tante.	Ma tante prépare toujours un dessert pour les fêtes.	우리 이모는 명절 때마다 항상 디저트를 준비한다.	My aunt always makes a dessert for family celebrations.
v1091	A1-A2	LES GENS ET FAMILLE	la cousine	Je parle souvent avec la cousine.	Ma cousine vient de trouver un nouvel emploi.	내 여자 사촌은 방금 새 직장을 구했다.	My female cousin has just found a new job.
v1092	A1-A2	LES GENS ET FAMILLE	le cousin	Je parle souvent avec le cousin.	Mon cousin joue au hockey depuis son enfance.	내 남자 사촌은 어릴 때부터 하키를 해왔다.	My male cousin has played hockey since childhood.
v1093	A1-A2	LES GENS ET FAMILLE	la nièce	Je parle souvent avec la nièce.	Ma nièce va entrer à l'école l'année prochaine.	내 조카딸은 내년에 학교에 입학한다.	My niece is going to start school next year.
v1094	A1-A2	LES GENS ET FAMILLE	le neveu	Je parle souvent avec le neveu.	Mon neveu adore construire des choses avec ses mains.	내 조카아들은 손으로 무언가 만드는 것을 좋아한다.	My nephew loves building things with his hands.
v1095	A1-A2	LES GENS ET FAMILLE	le gendre	Je parle souvent avec le gendre.	Mon gendre cuisine très bien.	내 사위는 요리를 아주 잘한다.	My son-in-law cooks very well.
v1096	A1-A2	LES GENS ET FAMILLE	la bru	Je parle souvent avec la bru.	Leur bru travaille dans la même entreprise qu'eux.	그들의 며느리는 그들과 같은 회사에서 일한다.	Their daughter-in-law works at the same company as they do.
v1097	A1-A2	LES GENS ET FAMILLE	la belle-fille	Je parle souvent avec la belle-fille.	Ma belle-fille vient dîner avec nous ce soir.	내 며느리/의붓딸이 오늘 저녁 우리와 함께 식사하러 온다.	My daughter-in-law/stepdaughter is coming to dinner with us tonight.
v1098	A1-A2	LES GENS ET FAMILLE	le beau-fils	Je parle souvent avec le beau-fils.	Mon beau-fils commence un nouvel emploi lundi.	내 사위/의붓아들이 월요일에 새 직장을 시작한다.	My son-in-law/stepson starts a new job on Monday.
v1099	A1-A2	LES GENS ET FAMILLE	le bébé	Je parle souvent avec le bébé.	Le bébé s'est endormi dans la voiture.	아기가 차 안에서 잠들었다.	The baby fell asleep in the car.
